JPN TIDLow,USA TIDLow,EUR TIDLow,CHN TIDLow,KOR TIDLow,TWN TIDLow,Product code,Description,JPN Versions,EUR Versions,USA Versions,CHN Versions,KOR Versions,TWN Versions,Status
,00000002,,,,,,NATIVE_FIRM (Native Firmware),"v432, v1472, v2516, v3553, v4595, v5647, v6677, v7712, v8758, v9792, v10833, v11872, v12916, v13956, v15043, v15047, v17120, v18182, v19216, v20262, v21288, v22313, v23341, v24368, v25396, v26432, v27476",Same as USA/EUR/JPN starting with the USA/EUR/JPN 4.0.0-7 title-version,Same as CHN.,Same as CHN.,,,
,20000002,,,,,,New_3DS NATIVE_FIRM (Native Firmware),"v16085, v17120, v18182, v19218, v20262, v21288, v22313, v23341, v24368, v25396, v26432, v27476",N/A,Same as CHN.,Same as CHN.,,,
,00000003,,,,,,SAFE_MODE_FIRM,"v432, v5632",Same as USA/EUR/JPN starting with the USA/EUR/JPN 3.0.0-5 title-version,Same as CHN.,Same as CHN.,,,
,20000003,,,,,,New_3DS SAFE_MODE_FIRM,v16081,N/A,Same as CHN.,Same as CHN.,,,
,00000102,,,,,,TWL_FIRM ( DSi Firmware ),"v432, v1489, v2565, v3601, v4625, v5681, v6704, v7762, v8817",Same as USA/EUR/JPN starting with the USA/EUR/JPN 4.0.0-7 title-version,Same as CHN.,Same as CHN.,,,
,20000102,,,,,,New_3DS TWL_FIRM ( DSi Firmware ),v9936,N/A,Same as CHN.,Same as CHN.,,,
,00000202,,,,,,AGB_FIRM ( GBA Firmware ),"v519, v1553, v2576, v3665",v2576,"v2576, v3665",Same as CHN.,,,
,20000202,,,,,,New_3DS AGB_FIRM ( GBA Firmware ),v4816,N/A,N/A,N/A,,,
,000400000F802A00,,,,,,"Unknown. Appears to be a gamecard title. See also here.Used during repair, first non-system title listed in playlog from repair.",?,,,,,,
,000400000F802100,,,,,,"Used during repair, second non-system title listed in playlog from repair.",?,,,,,,
,000400000F802200,,,,,,"Used during repair, third non-system title listed in playlog from repair.",?,,,,,,
,000400000FFFFD00,,,,,,"Used by retail NS for appID 0xF11, but this isn't available on retail CDN.",?,,,,,,
,000400000FFFFC00,,,,,,"Used by retail NS for appID 0xF12, but this isn't available on retail CDN.",?,,,,,,
,000400000FFFFB00,,,,,,"Used by retail NS for appID 0xF13, but this isn't available on retail CDN.",?,,,,,,
,000400000FFFF900,,,,,,"Used by retail NS for appID 0xF14, but this isn't available on retail CDN.",?,,,,,,
,000400000FFFF800,,,,,,"Used by retail NS for appID 0xF15, but this isn't available on retail CDN.",?,,,,,,
,000400000FFFF700,,,,,,"Used by retail NS for appID 0xF16, but this isn't available on retail CDN.",?,,,,,,
,000400000FFFF600,,,,,,"Used by retail NS for appID 0xF17, but this isn't available on retail CDN.",?,,,,,,
,000400000FFFF500,,,,,,"Used by retail NS for appID 0xF18, but this isn't available on retail CDN.",?,,,,,,
,0004003000008900,,,,,,"Used by retail NS for appID 0xF10, but this isn't available on retail CDN.",?,,,,,,
,0004013000001902,,,,,,"dmnt, debugger sysmodule. This use devunit-only HIO for devunit<>pc comms. This only exists for development units(launched by NS during startup depending on certain Configuration_Memory fields' values).This is installed at the factory, then later deleted at the factory on retail units.",?,,,,,,
,0004013000003602,,,,,,"""debugger"". This only exist for development units(launched by NS during startup depending on certain Configuration_Memory fields' values).",?,,,,,,
,000401300FEF0000,,,,,,"Referenced in eShop Metadata (NS_UID 50010000000584), but does not exist on retail CDN",,,,,,,
